Settlement,Longitude,Latitude
Ágasegyháza,46.840237,19.4468392
Akasztó,46.687228649999994,19.203282534218765
Apostag,46.87431355,18.977363726835286
Bácsalmás,46.11920585,19.317902490724016
Bácsbokod,46.137024999999994,19.150507524971765
Bácsborsód,46.07920675,19.155609843997844
Bácsszentgyörgy,45.979291849999996,19.04405565578965
Bácsszőlős,46.132535700000005,19.427419149653943
Baja,46.1784967,18.9511186
Ballószög,46.8478591,19.558587539222415
Balotaszállás,46.3240475,19.592878658288345
Bátmonostor,46.1007558,18.911457337283274
Bátya,46.462434599999995,18.94617504613434
Bócsa,46.6138652,19.4819774
Borota,46.284131349999996,19.208255714255294
Bugac,46.672067049999995,19.68425043940832
Bugacpusztaháza,46.7010781,19.6358078
Császártöltés,46.42254955,19.210499978962552
Csátalja,46.046966749999996,18.956739168043267
Csávoly,46.22330435,19.105293575332574
Csengőd,46.7224752,19.306847760535444
Csikéria,46.1327146,19.483537004668705
Csólyospálos,46.4278678,19.842534596674867
Dávod,45.983536900000004,18.92690612829653
Drágszél,46.47523665,19.03802633634003
Dunaegyháza,46.84382825,18.947728783483615
Dunafalva,46.0838489,18.7725538
Dunapataj,46.6364843,19.026527593712142
Dunaszentbenedek,46.5974659,18.891151204892978
Dunatetétlen,46.766325499999994,19.12817902113104
Dunavecse,46.9014352,19.046785183684804
Dusnok,46.3851435,18.95958433991303
Érsekcsanád,46.251383700000005,18.961060330673877
Érsekhalma,46.331838149999996,19.124798408939846
Fajsz,46.405884349999994,18.914568857120322
Felsőlajos,47.062751500000005,19.503963230101128
Felsőszentiván,46.203293450000004,19.209719729545892
Foktő,46.5237565,18.925094021419195
Fülöpháza,46.8926424,19.446046791285923
Fülöpjakab,46.7419911,19.7225313
Fülöpszállás,46.8273034,19.23781711232575
Gara,46.0295648,19.047768678186145
Gátér,46.677014850000006,19.97055431822435
Géderlak,46.611215200000004,18.90766792742218
Hajós,46.38784735,19.118701929606168
Harkakötöny,46.48824865,19.581862737130656
Harta,46.6892428,19.07888188604355
Helvécia,46.8373932,19.6212831
Hercegszántó,45.9407769,18.915038241072295
Homokmégy,46.4829994,19.112001598806977
Imrehegy,46.46556265,19.301116684361318
Izsák,46.800917,19.3595369
Jakabszállás,46.7614921,19.6007791
Jánoshalma,46.28709645,19.34312987514032
Jászszentlászló,46.5751201,19.77592939966199
Kalocsa,46.5230265,18.9825043
Kaskantyú,46.6714618,19.3869842
Katymár,46.03062385,19.203655240631825
Kecel,46.536364250000005,19.261532284202477
Kecskemét,46.9080791,19.6928069
Kelebia,46.2170397,19.634598658073664
Kéleshalom,46.3526145,19.25750985158394
Kerekegyháza,46.9195439,19.51359850793456
Kiskőrös,46.6206925,19.2836756
Kiskunfélegyháza,46.7113263,19.8502905
Kiskunhalas,46.4278497,19.4833076
Kiskunmajsa,46.4605896,19.727436696241355
Kisszállás,46.28612055,19.51531500230647
Kömpöc,46.47635885,19.861863051946187
Kunadacs,46.97488955,19.29895283440316
Kunbaja,46.070841650000006,19.396450699601132
Kunbaracs,46.99273255,19.389863260828633
Kunfehértó,46.3548415,19.42133856202559
Kunpeszér,47.082183799999996,19.27435990882745
Kunszállás,46.7699935,19.7388178498327
Kunszentmiklós,47.0024249,19.18214164208986
Ladánybene,47.0279928,19.449489223212836
Lajosmizse,47.049853999999996,19.574142239938297
Lakitelek,46.8736335,20.0003712
Madaras,46.052990449999996,19.307204164959565
Mátételke,46.1662228,19.251347340743827
Mélykút,46.2283001,19.397382488411658
Miske,46.4365796,19.028668201907013
Móricgát,46.620654900000005,19.678573577760275
Nagybaracska,46.05049595,18.896051323671216
Nemesnádudvar,46.339476149999996,19.04644595534223
Nyárlőrinc,46.85529579999999,19.876359709863234
Ordas,46.6326751,18.92328002902744
Öregcsertő,46.5319621,19.152346160793577
Orgovány,46.7514033,19.476022
Páhi,46.7131018,19.386505
Pálmonostora,46.6000203,19.946119858021838
Petőfiszállás,46.61516845,19.851934239154083
Pirtó,46.508656099999996,19.43233127710097
Rém,46.258716500000006,19.131507664770872
Solt,46.80553115,19.052077955507247
Soltszentimre,46.75019935,19.23528466266226
Soltvadkert,46.5820205,19.3942728
Sükösd,46.3120315,18.979590564703294
Szabadszállás,46.8801853,19.223970785979617
Szakmár,46.5725307,19.100441025823603
Szalkszentmárton,46.96386225,19.039089906486033
Szank,46.5544858,19.6689973
Szentkirály,46.9369266,19.91625141721031
Szeremle,46.131731599999995,18.87712056237644
Tabdi,46.6846564,19.3077169
Tass,47.013312299999996,19.035062826697736
Tataháza,46.18713305,19.305562334922207
Tázlár,46.53858275,19.508885764538523
Tiszaalpár,46.7891973,19.977989342092542
Tiszakécske,46.947025999999994,20.048044115685528
Tiszaug,46.85870015,20.064055777498318
Tompa,46.2049292,19.5374011
Újsolt,46.85851455,19.088795648220966
Újtelek,46.59537985,19.06251679439214
Uszód,46.564454600000005,18.927482466995173
Városföld,46.8258024,19.75274269436818
Vaskút,46.10186775,19.014948308534926
Zsana,46.3971855,19.662414474227948
Abaliget,46.1445771,18.098742381405145
Adorjás,45.848898649999995,18.064131330879086
Ág,46.281932499999996,18.237136160672307
Almamellék,46.1800986,17.88482519365143
Almáskeresztúr,46.12230965,17.898818882303726
Alsómocsolád,46.3130764,18.2450064
Alsószentmárton,45.786204049999995,18.30425094795148
Apátvarasd,46.18696145,18.476435755972794
Aranyosgadány,46.00888125,18.128666276122082
Áta,45.9368992,18.297316
Babarc,45.995276950000004,18.563953847615295
Babarcszőlős,45.9077195,18.144053692858215
Bakóca,46.2034137,17.9981053870455
Bakonya,46.08790545,18.07853713732347
Baksa,48.2232612,21.0295939
Bánfa,45.9792827,17.881984832134414
Bár,46.056018550000005,18.717451878859837
Baranyahidvég,45.84386125,18.01822294207119
Baranyajenő,46.27858565,18.04181528301474
Baranyaszentgyörgy,46.24756895,18.015688195225124
Basal,46.07903745,17.780371353367748
Belvárdgyula,45.97611005,18.427216174703986
Beremend,45.78212795,18.449372671237292
Berkesd,46.0639046,18.413133623067104
Besence,45.89008895,17.967886398326613
Bezedek,45.8688963,18.602166822349965
Bicsérd,46.0315115,18.08121315932525
Bikal,46.3298395,18.278660461932514
Birján,45.9981327,18.37949302653374
Bisse,45.9111142,18.26865890007592
Boda,46.079343550000004,18.046447297359098
